From Date,PM2.5,PM10,NO2,SO2,CO,RH,WS,WD,SR,AT
3/1/2018 0:00,287.71,488.92,86.46,20.49,1.82,67.28,0.32,248.7,167.41,12.41
7/1/2018 0:00,242.08,466.5,104.15,21.57,2.72,56.3,0.57,261.95,174.67,13.66
15-01-2018 00:00,240.96,515.83,101.49,20.95,1.84,50.45,0.71,264.26,169.86,15.98
17-01-2018 00:00,294.38,402.21,72.23,17.61,1.2,64.78,1.19,88.52,166.5,14.02
23-01-2018 00:00,196.4,322.72,86.8,24.86,2.09,61.87,1.82,114.02,149.21,14.05
24-01-2018 00:00,162.97,239.81,72.06,25.29,2.08,66.09,0.71,240.56,198.31,13.42
26-01-2018 00:00,191.67,287.04,80.82,16.85,2.61,71.39,0.78,240.74,186.28,12.76
24-02-2018 00:00,183.33,415.08,97.83,15.1,2.4,53.03,1.46,85.59,191.36,24.13
21-03-2018 00:00,166.25,358.25,86.77,30.26,0.89,47.97,1.26,190.83,201.36,26.15
22-03-2018 00:00,110.71,258.0,73.06,19.78,1.04,51.34,1.43,220.02,207.31,24.69
23-03-2018 00:00,63.75,209.21,100.86,14.23,1.16,48.49,1.33,269.07,213.78,24.66
24-03-2018 00:00,80.0,259.85,104.21,14.69,0.5,45.52,1.88,272.97,243.88,26.29
25-03-2018 00:00,72.41,287.52,78.35,18.09,1.03,35.59,2.46,273.39,265.81,29.3
28-03-2018 00:00,171.25,372.14,83.37,34.76,1.1,32.94,1.5,235.07,207.33,30.01
1/4/2018 0:00,73.92,206.08,74.16,11.16,0.84,37.49,2.53,81.33,245.18,30.38
2/4/2018 0:00,110.17,275.83,86.83,23.9,1.72,40.05,2.16,82.8,209.52,29.15
3/4/2018 0:00,111.17,265.02,77.98,11.99,0.6,37.38,1.65,94.16,205.63,31.05
7/4/2018 0:00,54.96,167.96,59.16,8.31,1.19,45.61,2.39,100.28,215.82,27.76
10/4/2018 0:00,80.56,293.2,97.5,3.11,1.12,39.71,1.77,153.91,232.89,31.1
18-04-2018 00:00,74.58,338.58,77.44,12.36,1.71,23.83,2.28,269.05,220.01,32.54
20-04-2018 00:00,108.03,404.05,83.42,16.1,1.43,23.83,2.14,174.27,208.84,32.93
21-04-2018 00:00,179.92,517.29,89.37,7.54,2.1,29.63,1.54,268.04,220.73,29.97
22-04-2018 00:00,112.0,272.38,60.95,2.55,1.35,22.37,2.08,269.28,230.14,29.3
23-04-2018 00:00,94.25,267.46,93.92,7.62,1.64,18.85,1.73,266.06,227.81,30.5
29-04-2018 00:00,99.21,275.88,43.51,4.21,1.9,40.38,1.63,116.74,210.18,33.59
30-04-2018 00:00,146.39,272.0,56.98,4.11,1.8,39.85,2.5,116.03,219.6,33.31
5/5/2018 0:00,93.33,288.25,103.41,7.33,2.32,38.54,1.0,144.82,221.51,33.85
8/5/2018 0:00,81.79,231.88,56.78,7.54,1.67,38.03,2.54,233.5,223.33,29.99
9/5/2018 0:00,110.67,392.41,79.46,12.7,2.17,45.63,0.82,181.6,206.05,28.58
14-05-2018 00:00,51.12,154.88,27.06,1.81,1.53,46.62,2.03,109.14,228.85,29.48
15-05-2018 00:00,73.04,185.5,26.5,3.16,1.64,48.08,2.22,87.27,226.28,31.8
16-05-2018 00:00,82.12,285.58,44.56,5.31,1.65,36.13,1.85,232.92,225.75,34.19
17-05-2018 00:00,112.75,319.42,88.79,7.06,1.69,26.54,1.16,204.35,216.82,35.6
18-05-2018 00:00,117.46,308.79,100.04,16.82,1.71,30.92,1.13,142.89,220.26,34.44
20-05-2018 00:00,104.92,332.21,93.54,9.1,1.42,25.45,1.0,226.69,219.8,35.33
21-05-2018 00:00,72.29,241.58,59.89,16.82,1.83,13.96,1.45,242.71,222.9,36.77
24-05-2018 00:00,134.84,389.29,90.9,10.94,2.04,26.67,0.66,197.88,217.84,36.17
28-05-2018 00:00,125.5,290.0,75.72,15.96,2.44,26.16,0.85,121.87,220.73,36.53
31-05-2018 00:00,70.12,258.83,54.34,2.61,1.68,40.26,2.18,100.38,225.19,35.8
7/6/2018 0:00,184.95,178.91,44.54,8.52,1.9,51.78,1.97,94.26,225.94,34.89
10/6/2018 0:00,90.8,322.87,49.51,7.8,2.15,46.59,1.26,206.24,282.15,36.14
11/6/2018 0:00,86.83,337.83,42.98,7.5,1.57,47.11,2.02,260.49,228.96,36.03
12/6/2018 0:00,168.21,514.06,48.64,11.09,1.85,41.07,1.48,254.21,219.93,37.63
15-06-2018 00:00,252.71,488.86,61.43,5.61,1.73,35.08,1.81,212.33,222.43,36.84
16-06-2018 00:00,183.98,611.94,36.93,6.2,1.83,48.38,1.73,148.62,221.15,34.61
17-06-2018 00:00,108.33,320.83,27.12,5.02,1.67,57.3,1.48,156.29,232.17,31.52
18-06-2018 00:00,94.83,255.54,28.35,9.22,1.47,48.31,1.53,210.02,227.8,32.67
19-06-2018 00:00,68.32,206.82,36.51,6.2,1.71,48.0,1.12,231.28,232.37,33.89
20-06-2018 00:00,95.76,278.35,31.73,13.99,1.94,44.4,0.92,163.22,219.61,36.25
21-06-2018 00:00,104.37,348.0,49.05,9.02,1.81,40.15,0.7,191.25,217.14,36.88
23-06-2018 00:00,97.5,310.71,38.00919245049505,15.77,1.94,37.63,0.96,204.86,216.36,37.88
24-06-2018 00:00,76.76,211.02,73.74,14.67,1.34,35.95,1.81,210.77,216.93,37.6
26-06-2018 00:00,73.36,268.86,38.00919245049505,17.5,1.66,55.9,0.4,172.97,45.17,31.99
27-06-2018 00:00,67.33,229.0,38.00919245049505,14.652633528866936,1.339010852713178,74.82,2.4,81.24,163.31,28.63
13-08-2018 00:00,42.72,172.13,18.32,9.27,1.59,69.39,0.69,153.3,245.86,31.49
14-08-2018 00:00,65.27,206.62,12.22,10.3,1.84,71.49,0.66,162.58,215.62,31.56
15-08-2018 00:00,49.05,163.19,10.85,9.82,1.27,70.13,1.29,174.21,212.5,31.09
16-08-2018 00:00,47.13,157.22,10.15,10.62,1.37,72.69,0.89,125.96,204.65,30.7
17-08-2018 00:00,40.57,118.5,5.22,9.6,1.41,74.11,1.58,116.02,217.34,31.44
18-08-2018 00:00,40.1,110.33,6.07,10.31,2.21,77.63,1.12,115.95,200.67,28.35
19-08-2018 00:00,71.68,176.21,10.78,11.37,2.4,83.74,0.38,191.73,176.91,28.9
20-08-2018 00:00,77.62,193.68,19.52,8.7,2.41,77.19,0.98,158.6,207.55,30.76
21-08-2018 00:00,32.3,112.59,23.5,9.67,1.85,71.93,1.62,104.01,217.61,31.27
22-08-2018 00:00,31.5,101.08,26.69,9.65,1.58,73.07,1.47,123.84,209.46,31.13
23-08-2018 00:00,37.32,96.23,28.35,9.61,2.15,82.67,0.84,233.62,188.68,27.29
24-08-2018 00:00,39.53,170.52,25.7,9.96,2.42,75.68,0.6,270.23,197.65,30.16
25-08-2018 00:00,34.65,168.96,36.76,20.99,1.69,71.74,0.95,272.26,205.83,30.12
26-08-2018 00:00,33.22,178.5,25.94,11.5,0.8,69.13,1.19,221.54,216.88,30.68
27-08-2018 00:00,30.59,98.02,27.97,11.95,0.96,80.02,0.64,125.9,202.06,28.08
28-08-2018 00:00,38.01,88.97,9.11,12.0,1.21,85.73,1.04,119.63,186.76,25.53
29-08-2018 00:00,33.9,95.03,18.36,11.02,1.02,85.02,1.28,135.16,181.33,28.3
30-08-2018 00:00,102.93,172.47,28.49,14.37,1.57,75.44,0.75,239.12,212.73,31.11
31-08-2018 00:00,55.77,248.63,23.54,11.09,2.1,76.35,0.88,215.25,174.11,30.29
1/9/2018 0:00,51.76,118.71,38.00919245049505,15.87,2.06,87.19,0.88,196.88,178.43,26.08
2/9/2018 0:00,62.03,131.48,38.00919245049505,11.44,2.04,90.57,0.46,218.17,176.51,25.12
3/9/2018 0:00,63.37,114.42,38.00919245049505,11.36,2.43,92.26,0.37,178.47,185.69,25.66
4/9/2018 0:00,79.21,177.91,61.16,12.39,2.87,87.62,0.33,207.43,205.26,27.32
5/9/2018 0:00,48.73,186.85,63.93,16.2,2.4,82.04,0.65,261.61,191.04,28.02
6/9/2018 0:00,50.66,228.33,67.42,25.23,2.8,78.26,0.67,263.59,197.85,29.31
7/9/2018 0:00,58.4,148.64,87.39,21.19,2.63,81.72,0.48,212.32,168.0,28.0
8/9/2018 0:00,34.35,99.48,48.87,20.78,1.76,81.4,1.94,105.94,201.82,27.9
10/9/2018 0:00,41.64,136.82,55.04,21.52,1.99,78.38,0.81,169.93,199.06,28.42
11/9/2018 0:00,34.77,167.18,70.34,20.03,2.05,76.17,0.57,252.35,205.31,29.82
12/9/2018 0:00,35.6,200.44,62.16,20.9,1.78,70.46,1.16,272.01,210.31,30.49
13-09-2018 00:00,35.29,210.65,67.9,20.68,1.71,64.28,1.02,263.35,206.49,30.47
14-09-2018 00:00,41.13,191.56,65.59,20.35,2.06,63.73,0.94,277.1,206.74,30.3
15-09-2018 00:00,41.42,219.18,73.42,24.53,1.96,59.58,1.0,278.88,205.91,30.65
16-09-2018 00:00,50.71,193.68,57.54,21.17,2.11,69.71,0.6,264.13,62.93,28.58
17-09-2018 00:00,62.97,235.77,74.84,23.37,1.74,64.97,1.3,249.84,204.56,30.33
18-09-2018 00:00,51.31,231.56,83.47,19.48,2.47,52.87,1.23,266.09,225.68,32.33
19-09-2018 00:00,70.21,277.13,94.2,25.41,2.11,58.79,1.15,276.79,231.36,30.64
24-09-2018 00:00,39.55,49.8,79.32,21.59,2.12,82.01,0.56,241.26,125.44,25.04
25-09-2018 00:00,28.99,64.36,67.7,21.7,2.42,79.79,0.76,285.7,182.92,24.35
26-09-2018 00:00,51.38,202.69,89.45,21.72,2.18,66.75,0.67,272.15,206.58,28.31
30-09-2018 00:00,70.56,199.11,94.56,19.74,2.07,55.6,1.16,288.41,254.98,30.45
2/10/2018 0:00,58.48,241.07,98.7,23.56,1.89,41.81,0.61,238.93,179.26,32.9
9/10/2018 0:00,104.92,319.77,79.18,20.84,2.78,46.29,1.33,93.06,193.19,29.92
10/10/2018 0:00,98.44,332.36,84.33,21.11,3.45,49.48,1.64,87.87,156.55,30.63
11/10/2018 0:00,70.32,238.18,54.17,20.55,1.95,54.1,2.02,108.14,194.42,26.63
12/10/2018 0:00,78.92,247.92,96.5,20.31,2.19,44.04,0.45,159.01,194.35,26.46
3/11/2018 0:00,165.14,313.17,82.8,13.09,2.28,51.11,1.96,97.87,176.7,24.94
4/11/2018 0:00,112.71,220.71,79.34,20.84,2.06,49.45,1.88,175.26,182.94,23.76
15-11-2018 00:00,115.82,227.17,102.12,22.51,1.97,57.34,0.73,208.05,178.86,22.32
13-12-2018 00:00,110.43,181.06,75.08,15.55,2.09,60.74,0.58,248.6,175.16,16.54
14-12-2018 00:00,118.47,214.34,96.99,16.17,3.07,57.69,0.57,288.03,175.89,16.74
